contract_address,evt_block_number,evt_tx_hash,evt_index,inp_sender,inp_owner,inp_tickLower,inp_tickUpper,inp_amount,inp_amount0,inp_amount1
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12626966,0x6b31742f55dd60346b7c43afa404e537219822d42159df530f24259bfc2fc17b,48,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,198000,199210,4320030708263972,4958122617,3198987408516839715
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12626991,0xf8fea3daef201c1be5538ed50662eb11de52b7d6ac7e04a812ebb142a87a99cb,103,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,196260,200310,125009871815650,459704401,299999999939083466
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12627053,0x00a077e4f89139c6de9565b379279eef18ed05682d4cf8f2ad274c4ad2749f93,358,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,198060,199080,41641350882330885,38229800252,26950260463911762023
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12627065,0xc15f91e6fdb24dc5f2380c66e0ace2854a67f609ef2cd928c7753d41e9af9978,309,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,197920,198720,16336279391629293,960529836,12818116040329523114
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12627094,0x8bac1dbcae05a4a514089c2b63b127513fe17ce74fa1a548f1641f05be3ce691,26,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,198730,198740,4133440006751691187,99999999999,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12627120,0xeefa5d40494daa6e2527aff08940aceeb1ef8c60939e16ad2020259226976887,11,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,198730,198740,789277366518300901,19094927354,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12627132,0x4e58a24555cac0a9f51e816c9e8836e596115007a9d7030667602f5903de8278,200,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,197140,198740,23024596033552009,2009098672,35733999110663463452
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12627134,0xcc23e699d82262ff486d55cfce6bb82c28b8c1ca6763aa00b1cdbbb2a845a198,345,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,198260,200590,304094024360633,1328722689,136666393934502090
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12627256,0xbc04c0e1ec2c558db8364faa12b970537584adbd000087876908f76bcba73ef9,200,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,198470,198500,163331102778969759,0,4999999999999999976
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12627342,0x7fb7259e08b918463fbe067f6f08d88ee8948acf95121042e44b0d1ef7ee1e82,202,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,198490,198500,39179874077830092551,0,399999999999999999996
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12627385,0xf1294a67666e92e4dd591ab18740a0ad2ae66968c252292da5aa5c488a2207fc,267,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,188520,212350,2290407292806336,55900072525,18432538128155464610
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12627518,0x77b46fce49b6da045894b124343f56067b58b123e7ef6348c859ca2d411d5516,64,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,198240,199020,506769903156389,700000000,107363888645631187
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12627540,0xc7112930aaac082cc6d020c0de798998ebf88cdf3fe9f6a8b403982d29ce331c,174,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,197230,198860,525309382624650382,506645926458,640168707189105260069
