contract_address,evt_block_number,evt_tx_hash,evt_index,inp_sender,inp_recipient,inp_amount0,inp_amount1,inp_sqrtpricex96,inp_liquidity,inp_tick
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382625,0xe146393958344c304743b8aa118d461835d7dd8b0981361ded1fedd9c729a394,353,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x7858E59e0C01EA06Df3aF3D20aC7B0003275D4Bf,-3004311230,877389103481288200,1.3542869032496314e+33,51592216351822280,194938
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382629,0xa1b885902e5993ed0111511ed1621faec33acd42df1f91fb050426998d43362c,263,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x11583Cc3e813AC27c4b465AFaA63bbcB40E21741,-350000000,102328780886490450,1.3544439670122358e+33,51592216351822280,194941
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382641,0xc04dcf5c5dd504d5135543222400f108f6a0a8b4e2b45e5fc1724a2cae06c944,33,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x0000000000007F150Bd6f54c40A34d7C3d5e9f56,6942366063,-2023279762385041400,1.3513377681491862e+33,51592216351822280,194895
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382645,0xe3b2aa1d15bb499e7342927d9ee37dc346016058a3ed317a7f648f5d4a37fc84,298,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x7858E59e0C01EA06Df3aF3D20aC7B0003275D4Bf,-500721746,145765321485663840,1.3515615023679608e+33,51592216351822280,194898
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382648,0x55baf3a4b9a78ee05086d83d3a57f9af5d5c4161e4f47340ff14c332851d6bd1,290,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,1000442256,-290899995630443300,1.3511147785448934e+33,51592216351822280,194891
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382649,0xcbf834bf964bf8bd0dd0c9b0713668039ca6c7a2e333d60d67d57f618f66177f,27,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,-1717437313,500000000000000000,1.3518819394996774e+33,51658867751979060,194903
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382650,0x27661957ea305d9462e7976050545363ffe2fd541b946f9766d5a1c709eee49c,200,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,-3771511077,1100000000000000000,1.3535697345905355e+33,51592216351822280,194928
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382653,0x3380c88c44c2a6e08e15459cccd4e5fcc6b76ce1179aa2ee614d905c298d0a7c,342,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,1172348412,-341879544974829900,1.3530447234538775e+33,51592216351822280,194920
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382655,0xc0324b680a38cb4ec48ce2c5e2a05622c21eb5b2d57480d061faf3999c5282cc,49,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,961181209,-280101297046121730,1.3526145827727428e+33,51592216351822280,194914
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382658,0xd2e71ccd2b9c8db3f43603e33453a717773daf8d566948f6edfeddf3e62f1b96,52,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,-754237478,220000000000000000,1.3529522593039554e+33,51592216351822280,194919
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12382659,0x79ff0c21725d62496e7b3bc3c9e0f0510f21f38e4a7352742309b7f626042df6,65,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xc4580c566202F5343883D0c6a378a9de245C9399,-1034624404,301963497946850900,1.3534157410609535e+33,51592216351822280,194925
